,business_id,business_review_count,review_id,reviewer_average_stars,reviewer_review_count,reviewer_useful,text
,,,,,,,
2592,9r5YLKGTdQz_Q29cBifePQ,57,DcMPVUltzJd9Py9BK7VrvQ,3.54,15,13,"We use to visit this Pub 10 years ago because they had a nice English waitress and excellent fish and chips for the price.  However, we went back a few weeks ago and boy were we disappointed.  The price of the fish and chip dinner went up and they cut the portion in half.  No one assisted us in putting two tables together, we had to do it ourselves.  Two guests wanted a good English hot tea and they didn't brew it in advance, it was just thrown into a small metal tea pot and we had to ask for cream and sugar.  So we've decided there are newer and better places to eat fish and chips, especially up in north Phoenix."
,,,,,,,
2593,7LbqRnM6DPbLuBV4DGi5iA,9,AHbVHXUZwDGYa5GV2_NmeA,3.8,5,0,"I am not only new to the area, but to the southwest. I'm so excited to try food from as many taquerias as possible to find my favorite. Taqueria Los Angeles is yummy and super inexpensive. $5 for ""your choice of two"" with rice and beans. I will certainly return."
,,,,,,,
2594,cQZcWeIDKEF-7nWU3gJMUw,31,3Nn-d5CGzV2scaxDRHhAFA,2.91,23,27,"My rating is based on the fact that as a vegetarian, they charge $8 for a small mediocre bean burrito.  Maybe if this bean burrito were exceptionally good or large in size, but it was neither.  I'm not saying that if your idea of Mexican food is Chipolte, you will not find what you are looking for and be happy here. But if what you offer your vegetarian customers is deleting the meat and not adding anything else and charging full price, I can get MUCH BETTER elsewhere and pay way less.  

GRINGOS:  Take off the Chipolte blindfolds!  Go to a real Mexican restaurant and see what real food is supposed to taste like!"
,,,,,,,
2595,G9LwkTSdKOyOGqd5BbuIkA,155,RUUg3ZEjPzYKN97VG2fBSA,4.23,13,9,"This place has gone so downhill. If I hadnt gotten my chips, salsa & water immediately, I wouldve walked out. Margaritas are always awesome. But the service and food is straight up AWFUL. Microwaved enchiladas, no rice, rude, cold, unfriendly, uninviting service...If you're looking for a fabulous, neighborhood mexican restaurant, try Las Glorias Grill. The location isnt as great, but the food, service and drinks, blows this place outta the water. After years of going to aunt chiladas, Im NEVER going back again. They dont deserve your money either...."
,,,,,,,
2596,MdwoM1Qf87nmdA6Ma6tnMQ,4,k79glb4ggVAYj9pE_WKraQ,4.61,18,34,Fairly typical Walgreens. Sell beer and wine now. Photo and pharmacy. Redbox movies.
,,,,,,,
2597,xY1sPHTA2RGVFlh5tZhs9g,412,lzABdhPeBbBEYaFrf7ynqA,4.88,8,4,"First time here, new favorite. You can create your own antipasti plate, and the pretzels and fondue are AMAZING. Also the ricotta gnocchi is the best I have ever had. Service was good, Liz was our waitress and she was very friendly and helpful. Monkey bread is also stellar. I cannot wait to go back."
,,,,,,,
2598,YKOvlBNkF4KpUP9q7x862w,441,8iRQBqpE455Zlj7gR2mFOg,3.63,149,240,"This little spot in the art district of Scottsdale is as good a lunch restaurant as I've been to.  I had the mahi mahi tacos, and was blown away by the attention to detail in the flavors bringing the dish together, as well as the wonderfully tasteful presentation.  

Of particular note was the attractiveness level of the waitresses, about which I don't have sufficient words to do justice.  Both my father and I were hard pressed not to buy a condo in Scottsdale just to stay and have all our meals for the rest of our life there solely to appreciate the view.  They were dressed tastefully, not in the slightest bit 'slutty', but holy god."
,,,,,,,
2599,nfyqtEoufkhjv97IueK7Ow,55,Ql2ocTbNwTlRiaBFuxj2kQ,4.08,14,8,"I went to Arriba last night with my wife and another couple.  I have been to this location a handful of times and always had the same result.  The food was okay but the main problem here is the super slow service. 

It took us nearly two hours to eat dinner here.  It took forever to get our chips and salsa.  It took us nearly as long to get our drinks.  Forget about refills.    When our food finally arrived we asked for an additional plate but never got it.  I asked for a water when our food came out and got it after I was 3/4 done with my meal...and I do not eat fast.  Our waiter was friendly but hardly ever checked in with us.  When we asked for the check he said he would bring it in five minutes.  His five minute deadline was not met.

I don't think I will be eating here again.  I have given them too many chances."
,,,,,,,
2600,#NAME?,26,A7z1x4xUaVSSgJXIHk49hg,4.57,7,5,"I have been frequenting this spot since they opened and have always said they were better than Starbucks but Iam in a special kind of heaven after the change in menu and addition of pressed tea lattes!!! Yum, yum, yum!!! Far better than Starbucks powdered green tea latte and roughly a dollar cheaper than the high priced cup there as well. The early morning staff is great and free WiFi is an added bonus. I can honestly say for the New Year, I'm quitting you Starbucks......and mean it."
,,,,,,,
2601,#NAME?,4,ZpFH0PzAqZbh-wAtSUmF1g,3.6,5,14,"I'm never shopping here, I don't wanna shop somewhere where associates think if u can afford it in just goona purchase the bag online then looked at if I could afford it"
,,,,,,,
2602,fF6m3qsD5blnwuZRuYhzWg,193,D-SmuWWgk03wVWaErvLE8Q,3,4,1,Food was good. Slow service. First time that I've had to walk outside through a parking lot to get to the bathroom.
,,,,,,,
2603,rQ4z0EStSZE4acgkne6Hmg,227,88HOcrO0GLBNLUteN5h0DA,0,0,0,"I have totally fallen in love at Tuck Shop.  Everything here is fantastic.  My friend and I come here about twice a month and enjoy some snacks and wine.  The beer battered Cheese Curds may just change your life for the better... we are seriously tempted to each get our own order. 

(I am not very good at sharing and i always get what I want!   ...No i'm not an only child... well, maybe I was until i was 11, how did you know.  WAH!)   

Oh, and Laura is fantastic.  She always takes great care of us as we enjoy a glass of wine on the couch in the reading room.  

Thursday's special is meat loaf... don't deny yourself, just indulge.  :)"
,,,,,,,
2604,89yv89wcF_-ehN7_pUnl6w,21,UOUayuNj1fsk5Wiw4mKqVw,0,0,0,"Your reviews are hilarious!!   (shoot--who was this referring to??)

I try to avoid WM.  I'm always warned about the possibility of TB or now, pig flu.  I think the hub just doesn't want to go shopping--not that I LIKE shopping.

I know someone who worked WM in WA and she says the conditions are just horrible for employees.  I've spoken to at least one cashier that is actually FRIENDLY and LOVES his job benefits and bonuses.  He's a minority I guess bc as you all said, YOU CAN'T FIND ANYTHING and CAN'T GET HELP without attitude, usually.  

I'm standing there staring at 2 mgrs, and they just ignore me for a few minutes?  I didn't want to interrupt the conversation, so I waited.  FINALLY, one asks if I need help???  NAAAAAH, I was just admiring your huge body and wondered how long it might take me to look that way.  FOOLS!  

On my last visit, a customer said ""excuse me"" to the 3 employees behind me in the aisle.  I glanced at her and she sighed, rolled her eyes and shook her head as they all ignored her.  I chuckled and acknowledged her frustration.  Then one employee pipes up with ""OH, I'm sorry ma'am, can we help you?""  She asks to find an item, the customer thanks them, they say ""You're welcome"", the customer leaves and they sarcastically continue to each other: ""THAT'S WHAT WE'RE HERE FOR.  NO, THAT'S NOT WHY WE'RE HERE.  We're not here to find stuff for stupid people, we have better things to do.""    That's why, when I walk by an employee working, if they lay eyes on me, they immediately look away and pretend to be engrossed in their job, to avoid stopping to help.  WT?  What's wrong w/this management???  

I agree, you can find some deals and save some money, but the attitude is over the top.  There are a FEW employees that actually smile and appear friendly, at least when I see them, and I can point them out.  If not for the more often than not occurences as mentioned above, I stay OUT of WM as much as possible, which is a lot.  I've drastically reduced my trips there, but more importantly, I've cut out a huge chunk of purchasing from WM."
,,,,,,,
2605,IBrQEBb6_MFtCEiulodXeg,16,lnibY6BckqyirtIWSzPSJw,3.73,11,7,"I love this Starbucks. We all know every Starbucks is expensive, so forget that. But these people have our drinks memorized, if you go there alot anyways, they're on top. Good Starbucks."
,,,,,,,
2606,iDYzGVIF1TDWdjHNgNjCVw,149,kOgY3bcATt9haPKxbVyWWw,3,3,1,"I used to be a Los Sombrero's local. Started going (1998) before they were in their current location. The past few years Los Sombreros has gone hill. Increasing prices and food not as good. Marg's are subpar now. Los Sombrero's is no longer living up to what it used to be. Food is still good, just no longer great. All great things change and I am sad to see Los Sombreros change for the worse. 

The original chef/owner Jeff Smedstad has left and started Elote in Sedona - I must try there as I here it's what Los Sombreros used to be."
,,,,,,,
2607,AzNRSPu8LcsedsfZ694uCw,4,U6s0evfxbYhqVX_sOVfFdA,3.68,68,141,"Being a Phoenix native, I almost felt embarassed that I only ate at Pete's for the first time seven years ago. 
I had gotten back from England and was trying to recreate the orgasmic fish and chips experience I had there. Pete's was around the corner from my complex and after all, I DID see so many  of those ""I'm Addicted to Pete's Fish & Chips"" bumper stickers all around Tempe. I had to try it.

I ordered the two fish combo, and my reaction was...what the..?..are they serious? 

1.) The ""chips"" suuuuck. No salt, overcooked and stiff. I couldn't even eat them. 
2) The two squares of fish I got were alright, but I may as well have gone to Safeway and bought a box of Gorton's fish sticks. 
3.) The red ""special sauce"".  Wtf? And you have to pay extra if you want tarter? Lame. 
4.) No malt vinegar. Enough said. 

Why there is such a collective hard-on for this place is beyond me. It's a laughably bad example of Fish and Chips."
,,,,,,,
2608,QbqJEXdngh_9fwqVTI0CJQ,91,xXAiifY_2jgs9xlAmvjwfg,3.85,490,2368,"I am one step closer to completing my goal.  I want to visit every Grimaldis in the US before I die.  After tonights visit to this one, I have most of AZ taken care of.

We decided to come here because we had never been to this one.  We arrived and were seated right away.  Surprisingly this one wasn't crowded at all and that was fine by us.  

We got a small caesar salad, a small pepperoni and garlic, and a personal white pizza with roasted red peppers.  A few minutes later we got our salad.  It was really good.  Just enough dressing, lots of cheese and croutons.  It was a good starter.  A few minutes after that, our pizza came out.  If you have read my other reviews, you will know that I think Grimaldis is the best.....this pizza was no different.  I really liked the white with roasted red peppers.  Everything was delicious and even though there was some doubt we could finish off 2 pizzas, I turned on my inner fat boy, and finished off all the pizza.  It was tough, but someone had to do it....little kids are starving in Africa somewhere....lll be damned if I'm going to waste some slices of this amazing pizza.  Down the hatch it went....my stomach doesn't like me right now because its so full, but he will forgive me once he doesn't get any of this delicatessen back in San Diego LOL."
,,,,,,,
2609,lQpdn4RvgG9vT5CHv3qj9w,18,mk2DDzC295Y7NuW1dP-RcA,4.08,93,185,This is a great dog park to have in the area.  It has a ton of room for the big dogs to run around and there are baggies and trash cans scattered all around it so you don't have to go far to pick up after your dog.  I also love that there are a couple water stations in case you don't bring your own water bowl.  The area for the small dogs looked to be a pretty decent size as well.  The only downside to this dog park is that the ground is pretty muddy so I'd recommend wearing shoes you don't care about and bringing extra towels to clean up your pup after they're done.
,,,,,,,
2610,NlxvN9wUw14qIS6ledk15Q,46,R6E8_VsNpIpwTNDxs-ltoA,3.4,16,10,"Good food and really good beer.  In fact, on certain days their own micro-brews are a dollar a pint.  That's right, one dollar a pint for liquid sunshine.  The pizza is ok, but the beer is why I go.  Try it for yourself, I'm pretty sure that you'll agree."
,,,,,,,
2611,jvvh4Q00Hq2XyIcfmAAT2A,52,MTog75VPgARPOVDGVFAgUA,4,66,36,"As good as I always remember it to be.
Their fries are way better than In-n-Out (I am a fries connoisseur)

Their burgers may be getting smaller? Still delicious as ever.

I pass on the drink though, an extra $2+ makes the meal quite expensive..

Price: $9+ for the cheeseburger (double) and Regular fries
(in-n-out: $6+ for double-double and fries - half the size)

I would eat here every day if I had the option."
,,,,,,,
2612,TMZP6Kzkc-FytzgbgIC9JA,100,E2fr0LyYRX344sFJIy_baA,4,5,4,"Went here on Wednesday to take advantage of the $30 certificate. It was quite busy, which probably shouldn't of been a shock, location and all, so had to wait awhile but that is the risk of not getting reservations right? =P. 

Anyways, spent time in the bar which was nice, the bartenders were willing to answer questions, though not always the most chatty, but I think that was due more to how busy it was then not being friendly. The happy hour prices looked pretty good, $2 hot sake, $3 beer, $4-5 cocktails. Sushi was also on the cheap, Nigiri was from about 1.25-2 dollars I believe, and the other rolls ran from 3-5 dollars at the worst. They also have some non-sushi appetizers on there. 

Once we got a table, we were paired with another group, which was actually a nice experience as I do like the communal type seating stuff. Granted if you have a small group and not a fan of eating with strangers, might not like it much. 

Since it is a place I always consider more about a show then the food, going to start with that first. The show was eh, they do some of the knife play stuff, and a few things here and there, but honestly it wasn't all that exciting compared to the other place I've been (Sakura). The chef was friendly though, and the server was personable so that is a plus. Otherwise was a bit disappointed with the show portion of the meal. 

As for the food, I had the Filet Mignon and lobster tail. The filet was supposed to be medium, but came out more medium well in my opinion. It was lightly seasoned, leaving mostly a beef flavor then anything else. Now it had a good beef flavor, so by no means complaining just like a bit more seasoning personally. The lobster tail was good, buttery from the butter, but more importantly nice and sweet. How it is to other lobster tails? can't really tell you as I don't eat it that much (college students don't exactly have that sort of cash you know? =P). But again thought it was good, wasn't fishy and nice and sweet. 

At the end it came with a choice of ice cream, I tried the green tea ice cream which about the same as any other green tea ice cream I've had. Basically its sweet, with a hint of green tea taste, and that is about it. 

They have to sing to you of course, and they take a picture which they give you with a code you can access for up to 60 days (I believe) to download it, which is a nice touch. 

For the money, I really wouldn't go unless I had the certificate, however I would go back for the happy hour, probably my favorite thing of the whole night."
,,,,,,,
2613,jQST5lkLGX9L52-A10TGTQ,66,_Dx1-0gLz_-9FElMBr605Q,1,1,0,This was the second time I placed an order over the phone that was delayed over an hour. I was told over the phone that it was going to be only 15-20 min for me to pick it up. I showed up 30 min later and my order was still delayed. I ended waiting for another half of hour to receive my order. The pick up service was the worse I have ever experienced.
,,,,,,,
2614,F-ZOeAK1v7e5Rt2Mv5rVMw,139,eANvQ0h7HnfLn5wKwFD_qA,4.13,112,112,Best latte ever!!!  I missed my local coffee shop in Phoenix and I stumbled upon Echo.  I am so happy I found this place.  Free Wi-fi and AMAZING lattes have won me over!  I recommend the Turkey & Brie sandwich.  The pear made the sandwich.  They have a great music selection and they don't crank up the volume.  Check this place out!
,,,,,,,
2615,a8yzGF79KcfyRye2R6wt3Q,40,YV6DpBlgJqt7S5xucCdsjg,3.39,105,144,"Great in its day, now leaves a lot to be desired.  Deserves credit as a Phoenix landmark Chinese restaurant.  

This restaurant has been here for 38 years.  I've been going here off and on for 35 years.  I go here more for sentimental reasons, and not so much for the food.  

The interior still retains some of the original decoration style from the original restaurant established nearly 40 years ago.  The rest of the decorations have been torn out.  I believe the decor is modeled after the Forbidden Palace in Beijing - see the vault-of-the-heavens style crenelations in the ceiling.  

I have this restaurant - in its former self - to thank for this:  Back in its day, this restaurant was really great, and the entire atmosphere lent to an ambiance that actually inspired me to study Chinese and then later go live over there for some years. 

Sadly, the food here is not all that good.  The fryer oil they use here is pretty old.  The fried rice arrives looking almost black (from the fryer oil?  too much soy sauce?) instead of a rich golden brown, and tastes overcooked somehow.  The eggrolls are just OK.  Definitely not fresh.

A lot of the menu items from the original owners are no longer on the menu; for example the special ""Chinese cakes"" served on a plate topped with a delicious gravy-like brown sauce and shallots - probably some form of Cantonese food.  All of this is gone, and replaced by very plain fare, and not very good at that.  

If you like salty, greasy, plain-tasting yet somehow edible Chinese food not far from the $1-per-scoop variety, then go here.  Golden Phoenix's heyday as a great restaurant is long-gone.  Let us bow our heads in sadness to a place that once was very good - now passed on..."
,,,,,,,
2616,d52zg-S0o940WUCK-nNiKw,259,g7_wDRTTHFJsVI6WQave6Q,3.44,18,14,Machaca Burro is ridiculous and the butter tortilla will take you to the promised land
,,,,,,,
2617,CRvVvR6aE1eWVRtzQ0UC6g,48,N8kwZfU1LJoeh2BlRrFw2Q,3.37,89,74,"Food was decent, not too sure how this place is getting such rave reviews though...

Probably the most expensive Mexican place of it's style. $25 for a burro, two tostadas, and two mini-tacos. Seriously?! Also, no free refills or chips/salsa.

Are we going back? No."
,,,,,,,
2618,2mcmuAvpNIJuV3gV0v9v2A,57,5dX8hhkcgFfVZaSaWkV80Q,5,5,7,"Love this place, it's on our dinner rotation. The owners and wait staff always greet us since we are regulars. Great place and cheap too. Try the #100 its the best ever."
,,,,,,,
2619,8rMSbtMFVtEien-2EfFu6w,19,YHAcbIm2CCRDiLIFSfH_lA,0,0,0,"Took my daughter to Mendy's Place 4 times. Treatments, doctors, nurses and other staff were great.

My complaint is that the ER physicians are not in-network (participating) with most insurance companies. Even though the hospital is participating, the physicians are not , thus resulting in larger physician bills.

Us consumers pay dearly for our health insurance. I don't like being overcharged by greedy physicians."
,,,,,,,
2620,9PrgqakLyqlxTTqvvfYNyA,9,BedRV23Sb9fE03Y9eH7Jzw,4.12,25,15,I was a little bit scared to eat at this place but I was pleasantly surprised. I got the chicken egg foo yung and boyfriend got spicy shrimp. The portions were humongous and it was very delicious. The Buffett didn't look very appetizing. I would definitely only order from the dinner menu. Can't wait to go back.  Food is dirt cheap and so delicious.
,,,,,,,
2621,He9Dar4bk2vyeiPC7TkUgA,152,1MOAO0KIm38LNFg3FSgCMg,2,4,9,"I don't know what's up with Eddie??? I always found him to be pleasant, and really taking care of the customers. However on the 17th of November we had a birthday party of 19 people, and they gave us one waitress. We sat down at 7:00 pm and our main course came at 9:15. No real big deal but one person can't handle a table of 19, and we were having fun. So one of the guest's had ordered the $12.00 burger along with a salad and told the waitress no Mayo because he can't stand it at all. The burger comes out and it has Mayo on it, and he tells the waitress. She was not at fault, and had written it down clearly. He asked for a new one, and she comes back and say's Eddie cooked the hamburger and refused to cook a new one but would make him a new bun. He didn't want that because he hates Mayo that much, so there was no problem taking it off the tab, but Eddie would not make a new one. LOL. What's up Eddie??? I don't understand at all, you take it off the bill because you screwed up, but refuse to make another burger that you would have been paid for.  Then you end up looking like a fool in front of the other eighteen people. My daughter has even taken one of your classes, and said what a great guy you are. Really, Really bad PR that night and the next birthday party wont be at Eddie's House. Great time that night, but the ending leaves a very bad taste in 19 people's mouth."
,,,,,,,
2622,eTbtfgUtfewdncgVf2CbWw,263,UIUfEDc62fpMxWCW3Lc5PQ,3.92,1698,3241,"Owned and operated by Eugenia Theodosopoulos (an Ohio native, fyi) and considered by many to be the best patisserie/bakery in the state I approached Essence with a note of skepticism largely assuming much of the hype was derived from Tempe's plethoric college crowd but arriving at the doors of the small shop on a particularly lovely 80 degree morning I gathered quite quickly that my original conceptions were misplaced; not only does Essence not look like a college haunt, neither do its prices or products - a vast selection of at least twenty items aside from the posted menu sitting beneath and atop a glass case forcing me to make more than one tough decision that was not helped by my server's accurate assessment that everything was really good.

Now bearing in mind that the original impetus to visit Tempe on this particular morning was to visit Caffe Boa and that Essence was more of 'pre-meal' activity what follows may seem slightly gluttonous, but to be fair once I took my first bite of Theodosopoulos's École Lenôtre trained almond croissant I knew I was in good hands and everything else just sort of followed.  Without a doubt my favorite breakfast pastry and perhaps my favorite French pastry overall, Essence's $3 twice baked option arrives slightly smaller than the average but with a shell that crackles to the tooth and an interior that is at once yawning pockets of air and nearly overloaded with butter and light frangipane there is no doubt that this is a case of ""big things in small packages,"" and particularly in its still-warm morning state the flavors and textures rivaled those at Dominique Ansel and Payard Las Vegas for best I've had stateside.

Moving next from the baked goods to one prepared from the menu my second taste of the morning aside from the slightly earthy and lightly leather accented coffee was Essence's ""Signature"" French Toast, a $7.25 selection featuring three griddled slices of eggy brioche and a sidecar of what I can best describe as banana infused caramel.  Rich but thinly sliced and therefore nicely saturated each piece of the French Toast was exactly as it should be - the exterior crisp and the interior custard-while the sauce provided a pleasant balance of fruity notes and intrinsic sweetness that complimented rather than overwhelming the bread.

At this point submitting to the fact that I was going to eat even the items I'd bought 'for later,' my next two tastes were a pair of $2.95 macarons that, much like the croissant, rivaled those both here and abroad in terms of taste and texture while opting for a much more rustic approach terms of size and presentation.  Beginning first with Pumpkin Spice and then proceeding to Vanilla with Dark Rum each palm-sized cookie was exactly what one would expect from a well trained pastry chef as the exterior shell provided a slight crackle on bite subsequently giving way to a soft meringue followed by dense cream that slowly dissipated on the tongue - the cinnamon and nutmeg notes of the former particularly notable while the rum in the second was appropriately understated thus serving to highlight the vanilla of the shell.

If there were any 'misstep' on the morning, it *might* have been the ""Summer Berry Croissant Bread Pudding,"" though when I say misstep I must temper the comment with the fact that my quibble is only that I prefer the French/English take on the dish while this one was more based on the French Custard style, a rich vanilla bean pudding without a lot of crunch or textural variance but instead laden with blackberries, raspberries, and strawberries plus a sidecar of lightly sugared strawberries.  Focusing more of the natural sweetness of the fruits and aromatics of the vanilla than the typical overly sweet versions served stateside it was more panna cotta than bread pudding to me, but chalking that up to personal tastes it was still delicious.

Moving last to the one dish that gave me trepidation, the ""French Napoleon"" gave caused pause not only because the name clearly skewed towards a subset unfamiliar with a proper Mille-Feuille but also because so many pre-made versions of this layered pastry have failed to wow in the past...thankfully this was not the case at Essence.  Featuring light and crunchy layers of choux easily withstanding the tines of a fork without turning into a smooshy mess (see ""Mille Feuille New York"") intertwined with rich pastry cream speckled with dots of vanilla bean and ripe raspberries what truly made this version stand out was the manner in which Theodosopoulos caramelized each layer of choux, a technique reminiscent of Pierre Herme and as good as the French icon's version was I'd be hard pressed to say Essence's was any less impressive.  It would be awesome to see what they could do a la minut like Savoy, L'Arpege, or Genin and given the names I've dropped in the paragraphs above plus Essence's proximity I've no doubt I'll be returning to see what else the small shop is capable of soon."
,,,,,,,
2623,mQde7KRomOQoUyPGTqeXhA,34,n9JTbyHVsl_awFDig-1Abw,3.67,27,91,"I'm on a community social action committee and have spent the last year planning a community-wide service day. We were each responsible to lead a team of volunteers in a different community service project and per my passion I chose the Humane Society. We arrived on Sunday afternoon with a group of 12 people at the Campus for Compassion on Dobbins Rd. Kathy - the head of volunteer services - met with us and gave us a thorough introduction. She included the history of the AZ humane society and the process and procedures by which they take-in and shelter animals. She really focused on promoting spaying and neutering pets and cited some very impressive statistics. Did you know that over 7 years un-neutered  cats can breed to reach 420,000 in numbers??!!!! and dogs 67,000??!!! thats CRAZY and so compelling. 

Kathy proceeded by giving us a very educational tour of the facilities... we saw dogs, horses, cats and bunnies. It was very eye-opening. First off it shattered any stigma you have about a shelter. The animal accommodations are so impressive!! The dogs have BIG size kennels with indoor and outdoor spaces that are really spacious. I was nervous to go in and see the dogs in kennels but I really wasn't as heartbroken as I thought I'd be bc they really had nice size spaces. 

There are sprawling lawns in the back where animals can run and play which even include a public dog park! There are also private puppy rooms.  The cats have big crates as well and even private bedrooms where they can hang out in groups and the facilities were squeaky clean w/o any odors. 

The volunteers were so nice, kind and devoted to the animals. We got to feed horses, play with cats and bunnies and put together leashes for dogs. The most encouraging thing though was that the place was busy on a sunday! buzzing with people wanting to adopt pets and several cats were actually adopted during the 2 hours we were there.

It was a wonderful and meaningful experience and I encourage anyone who is looking for a pet to adopt from the Humane Society and to look into volunteering with them"
,,,,,,,
2624,ke3RFq3mHEAoJE_kkRNhiQ,178,wxg_JFaOExsvE2UJQSI4Jg,4.4,5,11,"Every time I go in this place it's always a great experience.  My wife and I have been going to Lucille's pretty much every other Sunday for the last couple months.  Her favorite is the pulled pork mine is the Kansas City ribs, but we always have to start our meal off with the fried pickles.  If you're on a tight budget even buying one meal and sharing it is a definite option.  Sometimes I get full on the biscuits and spread the provide in the beginning.

The bar area is a great place to have a meal and watch a game.  I would highly recommend this establishment to any of my friends.  But make sure you get the fried pickles... you will not be disappointed.

Oh yeah.....please please please order the Mac 'N Cheese as your side.  You will thank me later.

Q"
,,,,,,,
2625,eRb0wjIVlj0bbfmePKZLng,12,DJ2epxidXnFdLtFmjQBgwA,3.86,8,7,"How very disappointing!  Nello's had a delightful menu with an array of salads, pizzas and sandwiches. Not Jac's. If the new restaurant wants to be a ""pub"", it should have a wider variety of selections. The menu was sad.

Due to dietary restrictions, I asked for a plain garden salad. Lettuce, tomatoes and onions. And it wasn't very fresh either. Sad.

Guess we'll be driving up north to Pima Crossing to visit Nello's."
,,,,,,,
2626,rncjoVoEFUJGCUoC1JgnUA,3,EnAdKZ_u_wj9ifTRwkfVwg,5,1,1,I highly reccomend this place. They helped my girlfriend and I figure out our taxes and deductions so that we could get the max refund. We both had been doing our taxes online and missing out on hundreds in deductions. Ill never use another online service to do my taxes again as long as these guys are here.
,,,,,,,
2627,RSOppDX3TPNbBtrWuIMElA,16,QDhIuFU2ADUo27CHfM2_jQ,3.64,33,40,"Food is just ok, but the problem is it's way overpriced! I mean $9 for loco moco? Outrageous!"
,,,,,,,
2628,#NAME?,6,VcOep9CYExczLxDzxweWmA,3.33,3,3,"My absolute favorite coffee shop - I'm a regular!
Friendly atmosphere & staff, buttery fluffy muffins, ooey gooey danishes, tasty coffee, and support for local businesses and entrepreneurs.  The only negative for me is the mysterious disappearance of the corn tortilla bagel (much yummier than it sounds)!"
,,,,,,,
2629,8yxuxxKHRtyIzwE4cIVRiA,20,V9vUMqEgMx_nQwOBQozj9g,3.51,344,461,"This place made me feel comfortable about moving to Arizona.  I just moved from L.A. and was totally worried about not having access to Asian stuff.  Of course it is not comparable to L.A. but this place has all the essentials.

*Vegetables = fresh
*Meat = frozen
*Fish = frozen
*Dried food = plenty
*Bread = they bring in baked goods from Olive Bakery in L.A.
*Cooking supplies = half of the store is full of them"
,,,,,,,
2630,Vy3GlkRt1svQ-mkZ6r8W4g,4,CQ83yS0S2xxnvdT6CCPQ5g,3.83,167,183,"There's no business like show business. As any of my friends will tell you I am a theater junkie. I could sit in a theater all day, all week, all year long and do nothing but gaze at live performances of theatrical talent. lol! Well in actuality, hmmmmmmm I really could. I am not even joking on that. I probably would if someone brought me water every now and again. LOL!  Ok, seriously now, Childsplay is my favorite organization in Az for a host of reasons. 
   My dear friends of Childsplay know who they are. This is children's theater at it's best! The Q and A sessions after each show is a plus. The kids love it. I have to admit I do too since I get to go say hi to my friends after each stage-show. I also learn more techniques that I can steal when I teach drama to my inner city students. Teehee!  ( Yes I am a teacher and yes I would die to have some of their costumes and sets) 
   I have seen so many wonderful plays, literature remakes, and original scripts performed At TCPA and by Childsplay. Fernidad, BFG and New Kid were only some of the most amazing masterpieces I have had the distinct pleasure of viewing from these talented actors. Debbie, Scott, Katie, Jodi; well all of them! LOVE YOU!
   Childsplay also has an artist in Residence program for schools. We have had an artist at our school for several years. It is wonderful to note that the teaching techniques classroom teachers are learning are helping tomorrows future. Time after time I have seen struggling kids blossom under their tutelage.  
   Of importance to note, TCPA is a beautiful facility. You can enjoy a nice venue along with the superstar talent. What more can you ask for?  
   The only negative I can possibly imagine is that in today's hard times the cost may be inhibiting to some families. But if you like them on Facebook they sometimes have discounted tickets and contests to win free tickets. A great way to start viewing them and get involved.
    I do hope everyone continues to support the arts here in Az. As I have stated in my other ""ARTS"" reviews, I do worry about cultural program survival in Az with recent state budget cuts. Soooooooo, as a famous circus/rodeo person once said, ""Go, On With The Show""."
,,,,,,,
2631,cKxXBvOithS-Ic5KnhEKrg,38,rxrJEIqrcB6RTpihDfTMcw,3.8,359,457,"I do not typically go to chain restaurants & then yelp 4 stars but I was genuinely impressed with our server (Cliff) and Carrabas kitchen.  I have been doing a food detox as of the first of the year and the waiter AND the kitchen were so accomodating, even going as far as asking if it was OK with me if they could add certain vegetables to my salad I had ordered (they wanted it to look nice and taste good) to make it more filling.. who does that!?  They do!  Went with my bro, his gf, and my hubby and they had a great old-vine Zin (bottles of wine are on special on Wednesdays) and they seemed to enjoy their meal (though my bro thought his veal marsala was a bit smaller than it should be).  We were seated promptly, the staff (Cliff & kitchen guys) was very attentive and I have to give them 4 stars for going above and beyond what chain restaurants usually serve."
,,,,,,,
2632,xY1sPHTA2RGVFlh5tZhs9g,412,WmqJq8o116G97hcpgS-SnA,3.68,25,12,"Came in mostly based on the name, as it is a great one. The decor and feel were really cool, and our server was very friendly and accommodating. I had a burger with bacon and cheese. The burger was very good and the fries were as well. They had some happy hour deals, and I got a beer on tap. I came in around 4, so it wasn't too busy, but I look forward to coming in again at night time and checking out some of their other drinks and food."
,,,,,,,
2633,Trar_9cFAj6wXiXfKfEqZA,50,Sl0t9JZTz_WWtgDaikcdEw,3.25,5,7,"Great donuts but horrible service... Didn't get anything we wanted due to a language barrier between us and the limited English speaking employee. She claimed, in broken English, to only speak Spanish. She understood ONLY the word ""dozen"" and we got a dozen of what ever she felt like giving us, then proceeded to ignore us while using her cell phone!
Donut shops are a dime a dozen and we will never again return to Bosa."
,,,,,,,
2634,i2gLXa-MSAS-9oU8K_rnYQ,80,bWC9_aTNgBc6U1wgxxRdvw,4.08,12,7,LOVE IT! Food & Service always great!
,,,,,,,
